review,sentiment
Salary need to improve and hike,0
Growth is so so.. hence problem,0
Though company Is good but the HR person Is not deserv to obtain their post,1
"One of my experience was very bad due to below reasons:
1. Required to work more than 12 hours in one of the projects.
2. Shift allowances are not good.
3. Company has reduced shift allowances remarkably, reduced cab services even for female employees, removed floor newspaper, coffee machines and many other internal service stoppage due to cost cut down policy.
4. They do not hear your voice (Project dependent).
5. Appraisal is biased (Not new in IT..:-))
6. Shift timings are very unusual and required to work anytime needed by project (Project dependent)
7. Compensation calculation is below average. Increments are not good. for few job designations, other than basic were increased. 
8. No proper escalation matrix in some projects.
9. No visibility of daily tasks. Manager does not know what and how of work done by comrades in depth. Again appraiser needs to be not biased to provide 100% transparent review.
10. No right fruits for social service teams.",0
"Less paid Not recommended, less intresting",0
"Pay is less compared to other MNC's, Better opportunities for experienced people",0
Poor Salary.  Getting top rating every year will also not help in getting a good salary hike.,0
"Nice company, good people to work with",1
"Great place to work as a fresher. 
You will get the ample of opportunities.",1
Transparency and leadership connect. Reactive approach to things and isolated process appeoach,0
"For the Automotive domain engineering department at Noida location, following holds very true:

1. Low quality work:  Mostly Manual Test Procedure creation work in Excel which does not require any technical skills and is more on the laborious side. 
2. Lack common ethics : ex:Most of the lateral hires are told of the development work in order to lure them to join, only to realize later that there was no such work and will never be coming.
3. People normally leave within 6-9 months of joining. They had joined here expecting the  XYZ culture heard from their friends, only to later find out that this department comes under SOGETI, which is ignored and worse than even the small indian companies.
4. Third class atmosphere with managers and tech-leads looking at your computer screens from behind all the time like a bania company. You will be judged on the basis of the hours you spend at the cafeteria & computer screen and not the work quality & amount
5. Small minded managers and POLITICS : Managers give very clear priority to juniors who show sycophancy and promote this attitude among other fellow employees. Technical skills is of low value for them. After few months, you will be well trained in politics and will be confident enough to join corrupted parties like congress and BSP .
6. Average annual appraisal range - 3-5%
7. Poor transportation : need to pay 1400rs/month from your salary. Have to reach a nodal point 2-3 kms away from home everyday. 
8. Get escalated for small matters : if missed the bus twice, you will barred from using transport for that month unless u ask your manager to place a request to transportation.
9. Ailing infrastructure ( an old Patni office, which has been re-branded as XYZ but could gain the parent's work culture). People still work on desktop for automotive software development.
10. No onsites ( But fake promises to file an H1B next year will always be there)
11. Freshers joining this company are unable to switch as the work they do here does not fetch them any job opportunity outside. This very well works out to their advantage as they get locked here.",0
"The noida location is not soo good, the projects here are mostly BPO's and you will get very less technical projects",0
"Big name, good work experience.",1
"Nothing to be mentioned here.
Never came across.",1
Excellent place to work with,1
company is good as it is a mnc,1
Too much work. No learning,0
"Feels isolated from XYZ.
Management to take special attention to LBS account employees as all work at client location and should be provided with better allowances.
No participation in XYZ's internal events.
No Learning opportunities.
Less career growth.",0
Better Work Life balance for employees,1
"* Favoritism
* Processes are not streamlined",0
All latest technologies are used.,1
"no proper hikes.
no transparency from management.
Few HR personal does not fit there.",0
"1. Rules not uniform across all verticles
2. Annual hike is too low (even for top-rated employees)",0
"* 9 and Half hours working period
* bad transportation facility
* No proper Recreation Centers
* Bad Sales thus less Projects",0
"Your projects depend a lot on your luck
Too much office politics . The HR and Managers have a nexus that is toxic.",0
The Leave policy is different from the TS employee to the FS Employee .,0
"Work life balance, Non stressful environment",1
Various HR policies which are employee friendly,1
Good Environment with a good healthy working ethos,1
Pay is not that great.  Cannot switch teams with ease.,0
"1. Chill environment
2. Great learning opportunities if you're motivated enough
3. Generally, working hours are relaxed
4. Most managers are pretty cool and will help you advance your career
5. Decent bus service",1
"Working with XYZ has been an enriching experience.
The work environment is excellent and great freedom to express your view.
I've had a series of great managers who helped me grow in my roles and take up more challenging assignments.",1
Annual appraisal is very less and hikes are negligible so suggest you negotiate your salary while joining the company..,0
No recognition and very low hike,0
Good place to work work lofe balance is good,1
"Lots of initiatives and workshops on  emerging trends, process level improvisations are sprouting here and there",1
They will put freshers in helpdesk role or l1 support role.Management is wrost in mumbai they will show partiality among the resources espescially for south indians they will force to take the supporting roles in project.there is no career development in XYZ for freshers.,0
No encouragement from higher management,0
"Managers and senior managers worst.

worst timings.

HR people listen only managers and senior manager words.

My concern to hr people please listen employees words also.

Because of that managers so people are left from XYZ

Sr managers showing their attitudes.

Working environment is waste.

people don't listen employee words.

Mangers and Sr managers are should need to be change.

XYZ is like a jail .They are not employee friendly.",0
Didn't like few policies for freshers especially onboarding,0
Nothing apart from Work From Home,1
"Good place to work for.
Nice technology aspects.",1
Realized work culture is the only benefit,1
The culture @ XYZ is very employee friendly.,1
not organized at all. very bad,0
It pays a lot then many other companies. It has very good project and you will learn a lot here.You won't gets the holidays like an Indian company but it compensates that with double pay and with other facilities.Good opurtuinty to move onsite.,1
"XYZ really needs to review their policies and for that they must change their vision. Management applying their mindless and childish strategies, so that employees follow them like machines. Every single process here is useless. They took complete 30 days to allocate me the desk and again 60 days to move my machine to a different desk.  Nowadays it feels like I'm going to school again not the office. If you don't follow the dress code they will take your details at entrance and then you need to deal  with HR. You don't have dustbin at your desk and the nearest dustbin is 1 mile away same applied to washrooms and water and they call this employee health friendly policy. Worst food. There are lot more.....",0
"Office locations in pune aren't good. Talwade office is so far from city, after acquiring igate other location is hinjewadi which is also far from city.",0
"Not much learning
Less salary hikes",0
Manager oriented.not employee friendly after IGATE merging.,0
"Process is some what good.
Brand name is there. So no issues as such.
Pay structure is good as well.",1
"There are few and i will be honest with that :-

1) Salary is on time.
2) Training provided is good.
3)If you are a good looking girl bingo, Double promotion is for you.",1
"good work life balance, and a relaxing job, 
you can do something else a part from job",1
"Pathetic appraisal, manager doesn't even complete appraisal in the appraisal system. Hr's are not bothered. No laptops..",0
"Good Environment.
Nice Campus.
Lots of training.",1
"worst policies for employees, many more things",0
"- Flexible work culture
- Plenty of opportunities within XYZ to select and grow your career path",1
"Less pay
Newbies are treated as robots.
If assessed well before deploying about their passionate field of technology, they can do wonders. Many other companies do so.",0
no any cons are there.,0
Have Good culture to work,1
"I was a part of iGate Global Solutions before XYZ acquired it. In my opinion, policies of iGate were much better than that of XYZ. Pay scale an hikes are very poor for beginners. Extended working hours is a big drawback.",0
XYZ is big giant in in IT world. It's only the pro with XYZ,1
"There is a lot of hierarchy which u need to wade through to get work done.
Your work satisfaction depends on the project and manager you work with.",0
Variable pay and Offers delay,0
Work process is good and lot more work. Good training packages.,1
Professional Values Good projects Secure Culture,1
"Job security. 
Descent company 
Good work culture",1
The only reason to work in XYZ is good hike,1
Good on site opportunities if you get a good project,1
Appreciation and increment not good for employee actually working,0
"Slow Growth , Less Salary",0
technically you ll learn less,0
"The only one disadvantage is that the offices are generally far from the city, however the spread of the campus makes up for this.",0
"Promotion is not given at the right time, getting release from the current project is very difficult.",0
Not for technically good people. Mainly has maintenance projects,0
"Low salary and variable pay
Office politics",0
Very money minded at times. Resources are a form of a currency. Company is loosing lot of good projects,0
Good cafeteria. Good place to learn.,1
"Multiple clients, cutting edge technology to work. Job security. Maintains pool.",1
Low salary. Nothing else. Nothing else,0
"Will not get much Hike
Not good from learning & carrier growth.",0
"Corporate life may be tough ,,,,,,,that's there is a phrase in english when the going gets tough   the tough gets going",0
"1.No Gender Bias, physically challenged bias etc.,
2. Good projects in Europe
3. Initial pay package is generally good
4. Sort of a cut above the regular Indian IT services company",1
Good place to learn new things.New things use to come and there always people to understand you the things.,0
"It is very great working with XYZ
Good work life balance
Good policies 
Fun @ work
No stress",1
"Good work culture
Nice environment
Big consultancy with lots of future benefits",1
There are only few projects in automotive domain. HRs will force the employees to change domain for if projects are not available in particular domain.,0
"Pathetic, insecure managers and leadership , too much politics, rampant cronyism and nepotism. Not an organisation to work for long term. Promotion and appraisal depends on how much you suck up to you boss. Salary hike is merely a joke. Recently lot of layoff going on in India. They have lost some major projects to competitors.",0
Operations -  for women employees it is good cause no night shift for them bjt depend upon process.,1
Nothing is bad. No Cons.,0
Challenging Projects on lot of Technologies,1
"-Offer Good Salary and Bonus
-Good Quality of Work subject to team",1
Long term may give you long onsite. The only way to earn money. Flexibility is there. Cafeterias are ok ok. After all it totally depend on project you are tagged.,1
"no much hike
bad for professionals",0
"Extremely low increment rate, work pressure in PES and GE BU is very high, managers are indifferent to employer's needs. Employee gets engrossed in office politics.",0
Some office politics. Less salary hike. 3 month notice period.,0
"Regressive work culture, no encouragement to juniors, lack of good project",0
Quite a laidback attitude in the organization,0
"Unnecessary pressure, No much career growth",0
"Good work environment, Lovely Campuses",1
"Good location, decent work life balance.
A lot depends on the project and project manager",1
"Cooperative staff
flexible working hours
lot to learn as a fresher",1
*Hike is low as compared with other MNC'S,0
"Its a great place to work, with nice and friendly work culture",1
Very good company to work. career growth is awesome. work life balance is also very good.,1
Good market value if worked here.,1
Less amount of projects/accounts available.,0
Positive place for learning here,1
"Workochlic, no work life balance",0
Good for only n only freshers,1
"Starting salary is lower compared to competition. Do not have any cons to share as of now, will definitely update once i join. Everything seems good till now and i have no complaints.",0
Compensation structure is not good for some departments,0
good amount of salary to live,1
"Getting a project is on you
Transport facility also not good",0
"It is a good company.
good work-life balance.",1
"Good Culture, Office location, time flexibility",1
Very good company for Freshers,1
"Work Life Balance
Lots of Training's
More Cloud Adoption Project
Job Secure",1
"Not good appraisal 
too many processes",0
Chilled out job profile . No work pressure .  Work life balance,1
"very little carrer growth
Very low growth
no perks",0
"No Transparency in future, Might soon remove you",0
Some what good Stability. Good company policies.,1
"Not any, really i didnt find any cons",0
"1. Easily manage work and life 
2. Managers and colleagues are supportive
3. Lots of Learning and Development activities are carried out
4. TGIM, social activities are carried out",1
"No free facilities provided
Transportation facilities are not free",0
"Working culture
Transport facilities
Freedom in org
MNC company
Fun culture
Team activities",1
"Trainings opportunities are vast, relocation policy is flexible, WFH available, senior teams are knowledgeable",1
"Nothing
Absolutely nothing
Definitely nothing
Off course nothing
Surely nothing",1
"Salary hikes promotion 
be prepaed for 500 Rs hike per annaum !",0
you wont get opportunity to explore many things,0
"Low hikes.
More working hours.
More Bench strength.",0
Supportive managers and best training in industry,1
There wasn't any con as such but pay could have been a little bit higher,0
Compensation could have been better,0
Yearly increment and incentive is very low for freshers. If you are lateral then its fine.,0
Work environment is good.Since i joined its good to work here.,1
"Cool environment , Employee friendly mgmt, nice place to work, Multiple skillset  oppurtunities",1
Work timings not flexible at all!,0
Training is one of the best for Freshers.Trainers are too good and you will learn alot during Training.,1
"Not a good hike, not at all",0
Nice company to work for,1
"Pros is the biggest Cons since this has led to top heavy structure.
Transfer internally to other BUs is a challenge and works in a negative way.
Lacks motivation to mid level people.
Designation is based on Salary which is a fallacy for non technical persons.",0
"Salary hikes are good
Good supporting managament",1
"nothing good
see other
life is short
have fun
dont join",0
"Like other Indian IT based companies that are growing at  the big scales, this is also having lot of challenges going ahead due to the competitive market in India.",0
"- Can have more flexi work options
- Review policies & processes to adapt to new age millenials",0
"Always had a chance to advance: Environment could be competitive but there were a lot of opportunities.
Great management: Project Managers and Senior Managers were all supportive and always motivated us.
Co-workers are professional.",1
"low hikes, low compensation, no work life balance",0
Poor salary Hikes and no good project,0
"Slow Growth
Very Minimal Annual Appraisal",0
"Good Learning, if the employee is self-driven",1
Timing restriction 9hrs per day,0
"Pays you good and treats you good when you are highly experienced
Good work culture
Good transport system",1
Difficult to go up the ladder quickly.,0
i dont see anything good.,1
"Nice environm
good place for Exp Guys",1
For me there are no cons...,0
"it is a service based company,means too many people on bench",0
Was nice exp with XYZ,1
"Worst unit. 
All they do is resource augmentation 
Day for bye to your career if you join XYZ LBS. There are no positive aspects to tell Please keep away from this business unit.",1
shift time is good here,1
"Work Life Balance is good.
Good for Fresher's & people who are joining as SM or above.",1
Very laid back work environment good place for manager's to work in.,1
NO Internal Job Postings considered.,0
"1. Good work life balance
2. Very good opportunities if you have good contacts within organization.",1
"Zero growth, favoritism, freshers can join, very low salary offered, too less number of projects.",0
Working relationship is good between employees and management and we get new tasks new work to learn new things in day-to-day life,1
flexible work timings.Less work pressure,1
"No stressful work
Friendly environment
Big teams
Relaxed work environment
Good work life balance",1
"Good management, very good teams, awesome fresher training, nice place to learn new things even if you are from non IT background.",1
"If you will work hard, your work will get recognition.",1
Work culture is good,1
If you can wait for more than 5 years in XYZ then you can get onsite.,1
"Good  work culture
Nice projects
Shift allowance facility
No dresscode",1
"Unprofessional Team members, Can relocate to  any location, support project",0
"Good infrastructure, Great team to work with.",1
I have been here around 3  years in chennai location. Good environment to learn corporate processes.,1
low pay grade for hirers,0
Less package offered compared to industry standards. Bad for freshers.,0
Joining will give you best hike. Good for people who is not getting any offer,1
"Get chance to work on various new technology
Great n supportive management",1
Nothing cons as such until unless your performance is good,0
no concerns as of now,0
Job security and less work but depends upon project to project,1
Increment is very less as compared to other companies,0
"Work Life Balance , Work from home is allowed as per project needs
Flexibility of timing is allowed as per project rules",1
policies are very good in company,1
You can be updated with your skillset as you need to give interviews everytime you change your project. Work Life balance depends on your project.,1
Low Salary. Low appraisal. No market correction.,0
"No proper increments as company is investing in infrastructure by paying less to employees.
Politics played at every level.
Acquires companies and then doesn't retain their projects leading to attrition.
New India CEO is making employee unfriendly policies.",0
Much less projects to work in or learn something productive,0
No Pros nothing will go in you favor,1
"you need maintain time effectively, time sheets very IMP",0
Some projects gives good work life balance; but at the cost of loosing technical skills,1
"Relocation is one of the biggest issue in most IT firm especially here
Pay scale for freshers is too less",0
"everything is a con
poor salatry
poor HRyou are 1 in 2 lacs employees worldwide so you dont matter",0
If you want to Promotion than need to wait at least 3 to 4 years. on site opportunity is depends on projects.,0
"1.  Poor work life balance
2. Not employee centric management - not even a bit.  One would expect some balance here as Cap has French roots
3. Crazy pre-sales team that makes unrealistic commitments to European clients - you know they are going to hold you to your word/contract literally!
4. mid-senior management not very mature
5. Many project managers have been working for several years in the company and have a turf attitude.",0
"Too many of them actually.

1) Very low salary as compared to the market .
2) Typical Serviced based managers who love to lick client or onshore colleagues boots and don't give any value or respects to there own sub ordinates.
3) Too many non-performers, who don't know anything about technology are hired.
4) Transition Team was a waste.
5) I didn't know who is my concerned HR till the time I resigned.
6) They are hiring like a herd of sheep , in which only 10% are actual performers.

So on and so forth.",0
"Time to do anything you want in life.
Relaxed life.
Work if you wish to do.
Friendly people.
Less pressure.",1
"No work life balance , No good hikes",0
some times we need to stretch to work beyond the working hours .but it is good to learn new things,0
Poor work life balance and minimal  increments / promotion,0
Good learning opportunity for Freshers.,1
"Flexible timings, work from home",1
not any word for this,0
"Very less hike now a days .
Annual variable pay . You will miss variable pay if you are leaving in between year .",0
"Less salary increment after promotion as well, more work pressure",0
none that I can think of. Depends on what you like,0
It has a good learning Environment and provide reimbursement for Certifications. If in a good project we can improve a lot in our career,1
"No work from home,Poor managment",0
it is an ok company for brand and salary,1
"No sufficient leaves, no good appraisal system in place, skill set matching is poor, 90 days notice period",0
"Work Culture is missing, weak Management, Planning issue",0
"Less internal hike
No cab facility available
Bad management 
Politics",0
Its a good option for freshers.,1
"Very low increments - They need to revisit the structure to retain top talent

High Attrition - linked to Increments",0
nothing to mention here. i had amazing experience,0
Higher management has no visibility at lower end.,0
"Good Management, Nice work environment",1
I havn't come across such,0
Pay less for fresher working in the same company for years.,0
Very high work pressure. Working with US based projects forces you to compromise with family life. Increments are poor and biased. Half yearly apprizal doesn't count.,0
None to mention.  Nothing great.,1
"*Poor technology to work on
*Mostly testing related projects
*Management is worst
*Less Salary",0
"If lucky then good else they will make you feel how tough is getting in to project. No onsite.only existing people gets good hike and recognition, you need to stay at company 3-4 years to get recognised even if you are working good.",0
"Appraisal cycle is followed strictly.
Trainings programs happens regularly and scope for learning.
HRs are supportive but still fails to implement basic policies like Job rotation.",1
"Easy to hold onto job
Less competitive",1
Poor compensation paid to employees,0
"1. Work from home (depends on client and project)
2.  Great team
3. Learning opportunities 
4. I worked with great people, specially Managers and seniors are very helpful.
Overall it is a good company to work with.",1
Good to look for a job after break.,1
Not much facilities for employees,0
Good place to work. good culture,1
Working culture is good in XYZ & one growing company in IT industry MNC's,1
One of the Nice Company to learn the basic corporate experience.,1
"No work from home policy, formals, no employee friendly policies",0
Pay Scale is really very low,0
"Work culture is good
salary is good
Junior senior relations are good
Friendly environment",1
No cons as of now,0
GOOD very good excellent awesome,1
"office are away from city
office are away from city",0
"Performance evaluation is not very fair.
Very low hikes.",0
"Good Working Environment
Work Life balance",1
"Good work location, Good projects to work on, salary is a constraint but opportunities are more",1
"9Hrs working is mandatory
Yearly Hike is very less",0
"Good growth, good package, excellent knowledge,",1
"1. Not at all employee oriented.
2. Managers rule HR.
3. Management is very poor.
4. Rating 3 is common for all unless you are your manager's pet or a critical resource.",0
"Doesnot have employee friendly work culture, no good hikes",0
"Slow career growth.
Long notice period.
very rare rewards and recognition program.",0
Great company to work with. I have never seen a company before like this where leads are working long hours. Great guidance and opportunity to learn new technologies.,1
Good Work Place to Work,1
"People are allowed to get away with anything
Rude behaviour of managers
If you are in good books with your manager you can say and do anything and get away with it 
HRBP's have no say in what is going on at the ground level as they have very little influence on the managers",0
Company dont bother once you are billable and Manager things like client is always  right what ever the meter.,0
"1. No work life balance 
2. 9 .5 hr working hr . 
3. If u r travelling from long distance , then your health ..everything will be spoiled .Bcz you will be working 9.5 hrs and then travelling in traffic ..horrible for u
4. Movement from one project to another project is difficult
5. will create new UAN after providing old UAN also.
6. Except recruitment team HR , other HR team is very less responsive . They will respond only when it is escalated .
7. managers are ok but they are stick 9.5 working hrs .
8. You can't plan any other personal career plan apart from work.
9. Not that attractive benefit for employee .only work.
10 . In my account ,work from home also horrible
11. No sick leave",0
"Benefits, Learning curve is good",1
"timely salary correction for loyal employees, external certifications not encouraged due to cost cutting, not well structured organisation",0
Less on-site opportunity for individual,0
The culture of the Company can be described as informal and non hierarchical. Employees are encouraged to express their opinions freely.,1
"- Big campus, multiple offices throughout the country.
- Its possible to change your projects and roles as per your interest.",1
"Not good Work-life balance
Work timings
HR policies",0
"* Emphasizes on Upskilling Employees
* Learning and Applying is the Moto",1
"Work environment is very good, colleagues, good management system , garden system is Beautiful, skywalk is so big, nice infrastructure",1
Nothing that i can think of now,0
"I worked in a vertical called LBS which is basically a bodyshopping domain for local buisness.
If your client is good you will get a good work enviroment",1
"Work Life balance
Awesome work culture and good for fresher to start career",1
"Good projects to work on and learn.
Good people to work with
Flexibility as far as work is concerned",1
Make sure you do not take relocation to Gurgaon or Noida. Your career will come to standstill.  Infrastructure  and project management at Gurgaon is dark spot on image of XYZ,0
may be they should hike the salary a bit more.,0
"it takes lot of time to get into a good project, should always be behind the management",0
"People and team environment to work with, may be because of team I got . Facilities and technical growth and career advancement, Transport and other benefits.",1
"free coffee and very bad transport system, 9.5 hours compulsory,dress code policy",1
"No proper management, u can not interact with HR for ur concers, No good salary",0
Very Good Culture and environment to work,1
I couldn't think of any.,0
"service based company,  slightly less pay",0
"Lack of people focus
leadership issue",0
Sometimes POCs dnt get approved.,0
Not much known till yet but salary in your hand is also something that matters.,0
Stability and Security are the main benifits,1
"work life balance is good.
Good for experience people.",1
Large portion of salary in Variable Pay for 2 years experienced candidate,0
Less growth and less hike,0
"less pay to freshers
no salary hikes",0
"Good environment 
Flexible working timing",1
"Less salary,no growth opportunity for employees",0
Office location is out of the city.  we don't have a space for work life balance. Salary very less compared to other service companies.,0
they do not have good opportunities any more in RPA,0
"Flexible Work hours, Friendly environment, Good Campus, good learning facility",1
"Work culture is very nice, good place to work.",1
I did not particularly find any con in this company,0
it's a place where you can learn new things,1
no good onsite openings as of now,0
"No work-life balance, poor management",0
Salary. XYZ is not a well-paid company,0
better hikes should be given.,0
"Good working environment.
Policies are employee friendly.
Leave policy is good.
Onsite opportunity.
Best place to start a career for freshers.",1
Just the name of the comapny is in pros else there is nothing in this company,1
"Nothing great or stands out. Average environment that doesn't add much to your professional growth. 
Poor care given to the concern of the employees.",1
"utility areas need to be improved.
Cafeteria is not good.",0
great place to learn for freshers,1
Everything works at snails pace here. Employee policies are not friendly at all. 90 days notice period during probationary period also. Less leaves as compared to other MNCs.,0
"Nice place
Less pressure
if you are in good project , you can learn but that is rare ... very rare",1
"Good Company to start your carreer .
Technology wise - You will get to work with the latest tech in the market and it gives a good exposure for client site.",1
"Good quality of work, Good team mates.",1
"Job satisfaction, work life balance",1
"1.Work life balance
2. recognition to people when you work well",1
"1. As it is a service based company, increment is not that good as it should be
2. Variable Pay(They call it as Bonus) is not given after you have resigned
3. Notice Period is too long (90 days)
4. HR's should place the candidate under the right Designation and Band else it affects the career growth (Promotion) of that candidate in the future
5. Promotion does not happen as per the criteria given in the Promotion Policy document
6.  There are many employees who are there in the organization from a long time but their skill set, behaviour and attitude is not benefitting the organization
7. There are many deserving employees whose work is not being recognized
8. In some projects, the Onshore counterpart is good for NOTHING. Just because, of having visa, he/she is surviving.",0
less hike when compared outside,0
My first company and happy with the knowledge which i had gained from my current project.,1
"At a point of time you will receive an amount in your pay slip saying it's your performance bonus 

after 12 days you will receive an email that the amount which you have got as performance bonus is arrest and will be deducted from your salary on monthly basis


first of all they are paying very less for freshers in India now they are deducting almost half of their salary 

only 22EL's per year - sick leave is included in these 22

if you take your EL , you might need to work on weekend going to office as they won't provide work from home",0
"good place to work, we can  have a great fun",1
will get lot of opportunities,1
"A gud company for freshers, lot of scope to learn new technologies..
Pay scale is also gud..
Growth opportunities are gud..",1
"Salary is less, hikes are less, Growth is less.",0
Nothing i felt during my 5 years,0
Nice company to work with.,1
"Good company to start, provided you get a excellent Manager and Tower lead & I was lucky to have both",1
Many groups business units isolated,0
Allowance should be provided for transportation.,0
"Poor salary for freshers, HR Management is bad",0
people working at client site are not given attention,0
no drawback it is good,0
Good to start at for freshers. Good learning opportunities at the early stage of the career.,1
"Poor compensation 
Poor management 
Politics over everything 
Limited or no growth 
HR is the worst of all departments 
Useless policies",0
"politics, less growth, started to be conservative",0
